ject,image,answer,Category
Matematyka,https://res.cloudinary.com/db1hycmuu/image/upload/v1722026377/Zadania_page-0061_vqnqd8.jpg,D,Liczby rzeczywiste
Matematyka,https://res.cloudinary.com/db1hycmuu/image/upload/v1722026378/Zadania_page-0062_kqqwyn.jpg,D,Liczby rzeczywiste
Matematyka,https://res.cloudinary.com/db1hycmuu/image/upload/v1722026378/Zadania_page-0063_b05l1z.jpg,A,Liczby rzeczywiste
Matematyka,https://res.cloudinary.com/db1hycmuu/image/upload/v1722026384/Zadania_page-0064_uek5t5.jpg,B,Liczby rzeczywiste
Matematyka,https://res.cloudinary.com/db1hycmuu/image/upload/v1722026384/Zadania_page-0065_u1guhi.jpg,C,Liczby rzeczywiste
Matematyka,https://res.cloudinary.com/db1hycmuu/image/upload/v1722026385/Zadania_page-0066_lwdoto.jpg,A,Liczby rzeczywiste
Matematyka,https://res.cloudinary.com/db1hycmuu/image/upload/v1722026385/Zadania_page-0067_yuohmy.jpg,B,Liczby rzeczywiste
Matematyka,https://res.cloudinary.com/db1hycmuu/image/upload/v1722026386/Zadania_page-0068_tnz6ph.jpg,C,Liczby rzeczywiste
Matematyka,https://res.cloudinary.com/db1hycmuu/image/upload/v1722026392/Zadania_page-0069_seiicb.jpg,D,Liczby rzeczywiste
Matematyka,https://res.cloudinary.com/db1hycmuu/image/upload/v1722026393/Zadania_page-0070_glzcdx.jpg,C,Liczby rzeczywiste
Matematyka,https://res.cloudinary.com/db1hycmuu/image/upload/v1722026393/Zadania_page-0071_ae5e5x.jpg,B,Liczby rzeczywiste
Matematyka,https://res.cloudinary.com/db1hycmuu/image/upload/v1722026394/Zadania_page-0072_yzbezk.jpg,A,Liczby rzeczywiste
Matematyka,https://res.cloudinary.com/db1hycmuu/image/upload/v1722026396/Zadania_page-0073_nddwdb.jpg,A,Liczby rzeczywiste
Matematyka,https://res.cloudinary.com/db1hycmuu/image/upload/v1722026401/Zadania_page-0074_jg5zq2.jpg,A,Liczby rzeczywiste
Matematyka,https://res.cloudinary.com/db1hycmuu/image/upload/v1722026402/Zadania_page-0075_izfxhh.jpg,D,Liczby rzeczywiste
Matematyka,https://res.cloudinary.com/db1hycmuu/image/upload/v1722026402/Zadania_page-0076_mcz2z0.jpg,C,Liczby rzeczywiste
Matematyka,https://res.cloudinary.com/db1hycmuu/image/upload/v1722026402/Zadania_page-0077_ej28te.jpg,D,Liczby rzeczywiste
Matematyka,https://res.cloudinary.com/db1hycmuu/image/upload/v1722026403/Zadania_page-0078_nqrd3a.jpg,B,Liczby rzeczywiste
Matematyka,https://res.cloudinary.com/db1hycmuu/image/upload/v1722026410/Zadania_page-0079_xmubxl.jpg,A,Liczby rzeczywiste
Matematyka,https://res.cloudinary.com/db1hycmuu/image/upload/v1722026411/Zadania_page-0080_z1mpy5.jpg,B,Liczby rzeczywiste
Matematyka,https://res.cloudinary.com/db1hycmuu/image/upload/v1722026411/Zadania_page-0081_fkxkct.jpg,C,Liczby rzeczywiste
Matematyka,https://res.cloudinary.com/db1hycmuu/image/upload/v1722026412/Zadania_page-0082_eway4w.jpg,D,Liczby rzeczywiste
Matematyka,https://res.cloudinary.com/db1hycmuu/image/upload/v1722026418/Zadania_page-0083_lcrbhi.jpg,A,Liczby rzeczywiste
Matematyka,https://res.cloudinary.com/db1hycmuu/image/upload/v1722026418/Zadania_page-0084_ovaxxc.jpg,C,Liczby rzeczywiste
Matematyka,https://res.cloudinary.com/db1hycmuu/image/upload/v1722026419/Zadania_page-0085_xtkrk4.jpg,B,Liczby rzeczywiste
Matematyka,https://res.cloudinary.com/db1hycmuu/image/upload/v1722026419/Zadania_page-0086_rttyxf.jpg,D,Liczby rzeczywiste
Matematyka,https://res.cloudinary.com/db1hycmuu/image/upload/v1722026420/Zadania_page-0087_sghgci.jpg,A,Liczby rzeczywiste
Matematyka,https://res.cloudinary.com/db1hycmuu/image/upload/v1722026421/Zadania_page-0088_mvgly0.jpg,C,Liczby rzeczywiste
Matematyka,https://res.cloudinary.com/db1hycmuu/image/upload/v1722026429/Zadania_page-0089_mjfoay.jpg,A,Liczby rzeczywiste
Matematyka,https://res.cloudinary.com/db1hycmuu/image/upload/v1722026429/Zadania_page-0090_plfbni.jpg,B,Liczby rzeczywiste
Matematyka,https://res.cloudinary.com/db1hycmuu/image/upload/v1722026430/Zadania_page-0091_qnxw4z.jpg,C,Liczby rzeczywiste
Matematyka,https://res.cloudinary.com/db1hycmuu/image/upload/v1722026430/Zadania_page-0092_g3cerh.jpg,B,Liczby rzeczywiste
Matematyka,https://res.cloudinary.com/db1hycmuu/image/upload/v1722026431/Zadania_page-0093_exjxrq.jpg,D,Liczby rzeczywiste
Matematyka,https://res.cloudinary.com/db1hycmuu/image/upload/v1722026437/Zadania_page-0094_vqh5ih.jpg,D,Liczby rzeczywiste
Matematyka,https://res.cloudinary.com/db1hycmuu/image/upload/v1722026439/Zadania_page-0095_giw6mc.jpg,A,Liczby rzeczywiste
Matematyka,https://res.cloudinary.com/db1hycmuu/image/upload/v1722026439/Zadania_page-0096_vu1sto.jpg,C,Liczby rzeczywiste
Matematyka,https://res.cloudinary.com/db1hycmuu/image/upload/v1722026445/Zadania_page-0097_hegp94.jpg,B,Liczby rzeczywiste
Matematyka,https://res.cloudinary.com/db1hycmuu/image/upload/v1722026445/Zadania_page-0098_qrakx6.jpg,B,Liczby rzeczywiste
Matematyka,https://res.cloudinary.com/db1hycmuu/image/upload/v1722026445/Zadania_page-0098_qrakx6.jpg,A,Liczby rzeczywiste
Matematyka,https://res.cloudinary.com/db1hycmuu/image/upload/v1722026501/Zadania_page-0100_jswfir.jpg,C,Liczby rzeczywiste
Matematyka,https://res.cloudinary.com/db1hycmuu/image/upload/v1722026502/Zadania_page-0101_bkzdty.jpg,D,Liczby rzeczywiste
Matematyka,https://res.cloudinary.com/db1hycmuu/image/upload/v1722026504/Zadania_page-0102_gx9jed.jpg,B,Liczby rzeczywiste
Matematyka,https://res.cloudinary.com/db1hycmuu/image/upload/v1722026513/Zadania_page-0103_prei4q.jpg,A,Liczby rzeczywiste
Matematyka,https://res.cloudinary.com/db1hycmuu/image/upload/v1722026513/Zadania_page-0104_bcujcd.jpg,D,Liczby rzeczywiste
Matematyka,https://res.cloudinary.com/db1hycmuu/image/upload/v1722026514/Zadania_page-0105_sdwboz.jpg,C,Liczby rzeczywiste
Matematyka,https://res.cloudinary.com/db1hycmuu/image/upload/v1722026514/Zadania_page-0106_awhj6t.jpg,C,Liczby rzeczywiste
Matematyka,https://res.cloudinary.com/db1hycmuu/image/upload/v1722026522/Zadania_page-0107_wioww1.jpg,B,Liczby rzeczywiste
Matematyka,https://res.cloudinary.com/db1hycmuu/image/upload/v1722026521/Zadania_page-0108_a91bxj.jpg,D,Liczby rzeczywiste
Matematyka,https://res.cloudinary.com/db1hycmuu/image/upload/v1722026522/Zadania_page-0109_dbobgi.jpg,A,Liczby rzeczywiste
Matematyka,https://res.cloudinary.com/db1hycmuu/image/upload/v1722026523/Zadania_page-0110_jzf6od.jpg,A,Liczby rzeczywiste
Matematyka,https://res.cloudinary.com/db1hycmuu/image/upload/v1722026530/Zadania_page-0111_uizmbz.jpg,C,Liczby rzeczywiste
Matematyka,https://res.cloudinary.com/db1hycmuu/image/upload/v1722026530/Zadania_page-0112_zoxiiv.jpg,A,Liczby rzeczywiste
Matematyka,https://res.cloudinary.com/db1hycmuu/image/upload/v1722026605/Zadania_page-0113_g7t38i.jpg,B,Liczby rzeczywiste
Matematyka,https://res.cloudinary.com/db1hycmuu/image/upload/v1722026606/Zadania_page-0114_kkrx1q.jpg,D,Liczby rzeczywiste
Matematyka,https://res.cloudinary.com/db1hycmuu/image/upload/v1722026607/Zadania_page-0115_lkhink.jpg,B,Liczby rzeczywiste
Matematyka,https://res.cloudinary.com/db1hycmuu/image/upload/v1722026619/Zadania_page-0116_c3jlv8.jpg,C,Liczby rzeczywiste
Matematyka,https://res.cloudinary.com/db1hycmuu/image/upload/v1722026632/Zadania_page-0117_uygvto.jpg,A,Liczby rzeczywiste
Matematyka,https://res.cloudinary.com/db1hycmuu/image/upload/v1722026633/Zadania_page-0118_qm4ymk.jpg,D,Liczby rzeczywiste
Matematyka,https://res.cloudinary.com/db1hycmuu/image/upload/v1722026634/Zadania_page-0119_mm7ryk.jpg,B,Liczby rzeczywiste
Matematyka,https://res.cloudinary.com/db1hycmuu/image/upload/v1722026775/Zadania_page-0120_ovx2eg.jpg,D,Liczby rzeczywiste
Matematyka,https://res.cloudinary.com/db1hycmuu/image/upload/v1722026776/Zadania_page-0121_mjimhn.jpg,C,Liczby rzeczywiste
Matematyka,https://res.cloudinary.com/db1hycmuu/image/upload/v1722026776/Zadania_page-0122_f2aqvs.jpg,B,Liczby rzeczywiste
Matematyka,https://res.cloudinary.com/db1hycmuu/image/upload/v1722026777/Zadania_page-0123_dbw9tm.jpg,A,Liczby rzeczywiste
Matematyka,https://res.cloudinary.com/db1hycmuu/image/upload/v1722026777/Zadania_page-0124_n8drjo.jpg,A,Liczby rzeczywiste
Matematyka,https://res.cloudinary.com/db1hycmuu/image/upload/v1722026777/Zadania_page-0125_mfffmg.jpg,D,Liczby rzeczywiste
Matematyka,https://res.cloudinary.com/db1hycmuu/image/upload/v1722026784/Zadania_page-0126_fwr7qz.jpg,B,Liczby rzeczywiste
Matematyka,https://res.cloudinary.com/db1hycmuu/image/upload/v1722026784/Zadania_page-0127_j5fybk.jpg,C,Liczby rzeczywiste
Matematyka,https://res.cloudinary.com/db1hycmuu/image/upload/v1722026783/Zadania_page-0128_senxty.jpg,C,Liczby rzeczywiste
Matematyka,https://res.cloudinary.com/db1hycmuu/image/upload/v1722026784/Zadania_page-0129_ljocr1.jpg,A,Liczby rzeczywiste
Matematyka,https://res.cloudinary.com/db1hycmuu/image/upload/v1722026785/Zadania_page-0130_i6yezw.jpg,D,Liczby rzeczywiste
Matematyka,https://res.cloudinary.com/db1hycmuu/image/upload/v1722026785/Zadania_page-0131_vf1uxb.jpg,B,Liczby rzeczywiste
Matematyka,https://res.cloudinary.com/db1hycmuu/image/upload/v1722026784/Zadania_page-0132_u0jdjz.jpg,B,Liczby rzeczywiste
Matematyka,https://res.cloudinary.com/db1hycmuu/image/upload/v1722026791/Zadania_page-0133_hwjrvp.jpg,A,Liczby rzeczywiste
Matematyka,https://res.cloudinary.com/db1hycmuu/image/upload/v1722026792/Zadania_page-0134_co0nka.jpg,C,Liczby rzeczywiste
Matematyka,https://res.cloudinary.com/db1hycmuu/image/upload/v1722026791/Zadania_page-0135_nj8lwe.jpg,A,Liczby rzeczywiste
Matematyka,https://res.cloudinary.com/db1hycmuu/image/upload/v1722026792/Zadania_page-0136_hnb4nr.jpg,D,Liczby rzeczywiste
Matematyka,https://res.cloudinary.com/db1hycmuu/image/upload/v1722026793/Zadania_page-0137_rzz7ga.jpg,A,Liczby rzeczywiste
Matematyka,https://res.cloudinary.com/db1hycmuu/image/upload/v1722026798/Zadania_page-0138_yf18ht.jpg,D,Liczby rzeczywiste
Matematyka,https://res.cloudinary.com/db1hycmuu/image/upload/v1722026799/Zadania_page-0139_ltlxcy.jpg,B,Liczby rzeczywiste
Matematyka,https://res.cloudinary.com/db1hycmuu/image/upload/v1722026799/Zadania_page-0140_ldw023.jpg,C,Liczby rzeczywiste
Matematyka,https://res.cloudinary.com/db1hycmuu/image/upload/v1722026798/Zadania_page-0141_u06mbl.jpg,C,Liczby rzeczywiste
Matematyka,https://res.cloudinary.com/db1hycmuu/image/upload/v1722026799/Zadania_page-0142_enqtrf.jpg,B,Liczby rzeczywiste
Matematyka,https://res.cloudinary.com/db1hycmuu/image/upload/v1722026799/Zadania_page-0143_ptturj.jpg,D,Liczby rzeczywiste
Matematyka,https://res.cloudinary.com/db1hycmuu/image/upload/v1722026801/Zadania_page-0144_xizle8.jpg,A,Liczby rzeczywiste
Matematyka,https://res.cloudinary.com/db1hycmuu/image/upload/v1722026808/Zadania_page-0145_iya6l3.jpg,C,Liczby rzeczywiste
Matematyka,https://res.cloudinary.com/db1hycmuu/image/upload/v1722026809/Zadania_page-0146_iq1yan.jpg,B,Liczby rzeczywiste
Matematyka,https://res.cloudinary.com/db1hycmuu/image/upload/v1722026809/Zadania_page-0147_dxkmul.jpg,C,Liczby rzeczywiste
Matematyka,https://res.cloudinary.com/db1hycmuu/image/upload/v1722026809/Zadania_page-0148_zbdz2j.jpg,A,Liczby rzeczywiste
Matematyka,https://res.cloudinary.com/db1hycmuu/image/upload/v1722026815/Zadania_page-0149_g6dnhn.jpg,A,Liczby rzeczywiste
Matematyka,https://res.cloudinary.com/db1hycmuu/image/upload/v1722026816/Zadania_page-0150_tmcweg.jpg,B,Liczby rzeczywiste
Matematyka,https://res.cloudinary.com/db1hycmuu/image/upload/v1722026816/Zadania_page-0151_cvnppa.jpg,C,Liczby rzeczywiste
Matematyka,https://res.cloudinary.com/db1hycmuu/image/upload/v1722026816/Zadania_page-0152_a7o9r2.jpg,C,Liczby rzeczywiste
Matematyka,https://res.cloudinary.com/db1hycmuu/image/upload/v1722026816/Zadania_page-0153_hu83rl.jpg,A,Liczby rzeczywiste
Matematyka,https://res.cloudinary.com/db1hycmuu/image/upload/v1722026817/Zadania_page-0154_uekzte.jpg,D,Liczby rzeczywiste
Matematyka,https://res.cloudinary.com/db1hycmuu/image/upload/v1722026817/Zadania_page-0155_jjjhdu.jpg,A,Liczby rzeczywiste
Matematyka,https://res.cloudinary.com/db1hycmuu/image/upload/v1722026817/Zadania_page-0156_urvzkb.jpg,B,Liczby rzeczywiste
Matematyka,https://res.cloudinary.com/db1hycmuu/image/upload/v1722026829/Zadania_page-0157_szgzij.jpg,B,Liczby rzeczywiste
Matematyka,https://res.cloudinary.com/db1hycmuu/image/upload/v1722026830/Zadania_page-0158_uos2aa.jpg,C,Liczby rzeczywiste
Matematyka,https://res.cloudinary.com/db1hycmuu/image/upload/v1722026830/Zadania_page-0159_cpmlav.jpg,A,Liczby rzeczywiste
Matematyka,https://res.cloudinary.com/db1hycmuu/image/upload/v1722026830/Zadania_page-0160_nafaw8.jpg,C,Liczby rzeczywiste
Matematyka,https://res.cloudinary.com/db1hycmuu/image/upload/v1722026830/Zadania_page-0161_bmzrjq.jpg,A,Liczby rzeczywiste
Matematyka,https://res.cloudinary.com/db1hycmuu/image/upload/v1722026839/Zadania_page-0162_wjk2de.jpg,D,Liczby rzeczywiste
Matematyka,https://res.cloudinary.com/db1hycmuu/image/upload/v1722026841/Zadania_page-0163_mdeksa.jpg,D,Liczby rzeczywiste
Matematyka,https://res.cloudinary.com/db1hycmuu/image/upload/v1722026840/Zadania_page-0164_bumavv.jpg,B,Liczby rzeczywiste
Matematyka,https://res.cloudinary.com/db1hycmuu/image/upload/v1722026840/Zadania_page-0165_l6ppt6.jpg,A,Liczby rzeczywiste
Matematyka,https://res.cloudinary.com/db1hycmuu/image/upload/v1722026841/Zadania_page-0166_g77uaq.jpg,C,Liczby rzeczywiste
Matematyka,https://res.cloudinary.com/db1hycmuu/image/upload/v1722026841/Zadania_page-0167_yf9spl.jpg,C,Liczby rzeczywiste
Matematyka,https://res.cloudinary.com/db1hycmuu/image/upload/v1722026853/Zadania_page-0168_ioq86w.jpg,B,Liczby rzeczywiste
Matematyka,https://res.cloudinary.com/db1hycmuu/image/upload/v1722026852/Zadania_page-0169_auhdis.jpg,D,Liczby rzeczywiste
Matematyka,https://res.cloudinary.com/db1hycmuu/image/upload/v1722026853/Zadania_page-0170_azf1xr.jpg,C,Liczby rzeczywiste
Matematyka,https://res.cloudinary.com/db1hycmuu/image/upload/v1722026853/Zadania_page-0171_u7vr8r.jpg,A,Liczby rzeczywiste
Matematyka,https://res.cloudinary.com/db1hycmuu/image/upload/v1722026853/Zadania_page-0172_wywtsd.jpg,D,Liczby rzeczywiste
Matematyka,https://res.cloudinary.com/db1hycmuu/image/upload/v1722026855/Zadania_page-0173_p04ojs.jpg,B,Liczby rzeczywiste
Matematyka,https://res.cloudinary.com/db1hycmuu/image/upload/v1722026867/Zadania_page-0174_bnqmif.jpg,A,Liczby rzeczywiste
Matematyka,https://res.cloudinary.com/db1hycmuu/image/upload/v1722026866/Zadania_page-0175_qexeyt.jpg,D,Liczby rzeczywiste
Matematyka,https://res.cloudinary.com/db1hycmuu/image/upload/v1722026867/Zadania_page-0176_jqys4k.jpg,C,Liczby rzeczywiste
Matematyka,https://res.cloudinary.com/db1hycmuu/image/upload/v1722026867/Zadania_page-0177_kakcl1.jpg,C,Liczby rzeczywiste
Matematyka,https://res.cloudinary.com/db1hycmuu/image/upload/v1722026867/Zadania_page-0178_i4zvq0.jpg,D,Liczby rzeczywiste
Matematyka,https://res.cloudinary.com/db1hycmuu/image/upload/v1722026869/Zadania_page-0179_fskmii.jpg,B,Liczby rzeczywiste
Matematyka,https://res.cloudinary.com/db1hycmuu/image/upload/v1722026870/Zadania_page-0180_vbdkbx.jpg,C,Liczby rzeczywiste
Matematyka,https://res.cloudinary.com/db1hycmuu/image/upload/v1722026883/Zadania_page-0181_oth48w.jpg,A,Liczby rzeczywiste
Matematyka,https://res.cloudinary.com/db1hycmuu/image/upload/v1722026883/Zadania_page-0182_knqbc3.jpg,A,"Wyrażenia algebraiczne (wielomiany, wzory skróconego mnożenia)"
Matematyka,https://res.cloudinary.com/db1hycmuu/image/upload/v1722026884/Zadania_page-0183_r6yzcn.jpg,A,"Wyrażenia algebraiczne (wielomiany, wzory skróconego mnożenia)"
Matematyka,https://res.cloudinary.com/db1hycmuu/image/upload/v1722026884/Zadania_page-0184_lv6epv.jpg,C,"Wyrażenia algebraiczne (wielomiany, wzory skróconego mnożenia)"
Matematyka,https://res.cloudinary.com/db1hycmuu/image/upload/v1722026883/Zadania_page-0185_dwqrcv.jpg,B,"Wyrażenia algebraiczne (wielomiany, wzory skróconego mnożenia)"
Matematyka,https://res.cloudinary.com/db1hycmuu/image/upload/v1722026889/Zadania_page-0186_rbc7gj.jpg,C,"Wyrażenia algebraiczne (wielomiany, wzory skróconego mnożenia)"
Matematyka,https://res.cloudinary.com/db1hycmuu/image/upload/v1722026900/Zadania_page-0187_fwqjmj.jpg,C,"Wyrażenia algebraiczne (wielomiany, wzory skróconego mnożenia)"
Matematyka,https://res.cloudinary.com/db1hycmuu/image/upload/v1722026900/Zadania_page-0188_twvzus.jpg,B,"Wyrażenia algebraiczne (wielomiany, wzory skróconego mnożenia)"
Matematyka,https://res.cloudinary.com/db1hycmuu/image/upload/v1722026899/Zadania_page-0189_h1tc16.jpg,C,"Wyrażenia algebraiczne (wielomiany, wzory skróconego mnożenia)"
Matematyka,https://res.cloudinary.com/db1hycmuu/image/upload/v1722026900/Zadania_page-0190_u65e64.jpg,A,"Wyrażenia algebraiczne (wielomiany, wzory skróconego mnożenia)"
Matematyka,https://res.cloudinary.com/db1hycmuu/image/upload/v1722026900/Zadania_page-0191_ek2enr.jpg,D,"Wyrażenia algebraiczne (wielomiany, wzory skróconego mnożenia)"
Matematyka,https://res.cloudinary.com/db1hycmuu/image/upload/v1722026901/Zadania_page-0192_khu5r9.jpg,A,"Wyrażenia algebraiczne (wielomiany, wzory skróconego mnożenia)"
Matematyka,https://res.cloudinary.com/db1hycmuu/image/upload/v1722026900/Zadania_page-0193_dopgne.jpg,B,"Wyrażenia algebraiczne (wielomiany, wzory skróconego mnożenia)"
